경찰서이름,경찰서주소,관서
서울혜화경찰서 숭일교통센터,서울 종로구 숭인동 53-29,서울혜화경찰서 숭일교통센터
서원치안센터,서울 관악구 신림동 1637-24,서원치안센터
서초2파출소,서울 서초구 서초동 1356-6,서초2파출소
서초3파출소,서울 서초구 서초동 1555-4,서초3파출소
서초경찰서,서울 서초구 서초동 1726-1,서초경찰서
서초경찰서 개방화장실,서울 서초구 서초동 1726-1,서초경찰서 개방화장실
서초경찰서 교통정보센터,서울 서초구 서초동 1726-1,서초경찰서 교통정보센터
서초경찰서 민원봉사실,서울 서초구 서초동 1726-1,서초경찰서 민원봉사실
서초경찰서 여성청소년수사팀,서울 서초구 서초동 1726-1,서초경찰서 여성청소년수사팀
서초파출소,서울 서초구 서초동 1603-16,서초파출소
석관파출소,서울 성북구 석관동 407-3,석관파출소
성내지구대,서울 강동구 성내동 541-1,성내지구대
성동경찰서 개방화장실,서울 성동구 행당동 192-8,성동경찰서 개방화장실
성북경찰서 교통정보센터,서울 성북구 동소문동3가 83,성북경찰서 교통정보센터
성북경찰서앞교차로,서울 성북구 삼선동5가,성북경찰서앞교차로
성북파출소,서울 성북구 성북동 66-23,성북파출소
성수지구대,서울 성동구 성수동2가 299-240,성수지구대
세검정파출소,서울 종로구 홍지동 95-1,세검정파출소
세종로파출소,서울 중구 태평로1가 68-1,세종로파출소
솔샘지구대,서울 강북구 미아동 860-146,솔샘지구대
송중동33통자율방범초소,서울 강북구 미아동 산 25-67,송중동33통자율방범초소
송파1치안센터,서울 송파구 송파동 113-1,송파1치안센터
송파경찰서 개방화장실,서울 송파구 가락동 9,송파경찰서 개방화장실
송파경찰서 교통정보센터,서울 송파구 잠실동 35-5,송파경찰서 교통정보센터
송파경찰서교차로,서울 송파구 가락동,송파경찰서교차로
송파위례파출소,서울 송파구 장지동 889,송파위례파출소
수서경찰서,서울 강남구 개포동 14,수서경찰서
수서경찰서 교통정보센터,서울 강남구 개포동 14,수서경찰서 교통정보센터
수서경찰서 전기차충전소,서울 강남구 개포동 14,수서경찰서 전기차충전소
수서경찰서교차로,서울 강남구 일원동 700-3,수서경찰서교차로
수서경찰서어린이집,서울 강남구 개포동 14,수서경찰서어린이집
수서파출소,서울 강남구 수서동 718-1,수서파출소
수유1파출소,서울 강북구 수유동 605-409,수유1파출소
수유2파출소,서울 강북구 수유동 605-512,수유2파출소
수유3파출소,서울 강북구 수유동 166-75,수유3파출소
수유6치안센터,서울 강북구 수유동 605-472,수유6치안센터
숭미파출소,서울 도봉구 쌍문동 349-34,숭미파출소
스타벅스 마포경찰서후문점,서울 마포구 아현동 618-19,스타벅스 마포경찰서후문점
시흥3치안센터,서울 금천구 시흥동 985-26,시흥3치안센터
시흥본치안센터,서울 금천구 시흥동 841,시흥본치안센터
신구로지구대,서울 구로구 구로동 569-3,신구로지구대
신길3치안센터,서울 영등포구 신길동 4956,신길3치안센터
신길지구대,서울 영등포구 신길동 4203-1,신길지구대
신당파출소,서울 중구 신당동 100-1,신당파출소
신대방2동주민센터,서울 동작구 신대방동 723,신대방2동주민센터
신대방지구대,서울 동작구 신대방동 719-2,신대방지구대
신도림치안센터,서울 구로구 신도림동 390-68,신도림치안센터
신도치안센터,서울 은평구 진관동 208-18,신도치안센터
신림지구대,서울 관악구 신림동 10-484,신림지구대
신문로파출소,서울 종로구 신문로1가 58-16,신문로파출소
신방학파출소,서울 도봉구 방학동 498-12,신방학파출소
신사지구대,서울 은평구 신사동 184-56,신사지구대
신사파출소,서울 강남구 신사동 539-13,신사파출소
신월1파출소,서울 양천구 신월동 132-3,신월1파출소
신월2지구대,서울 양천구 신월동 987,신월2지구대
신월5파출소,서울 양천구 신월동 59-5,신월5파출소
신정1지구대,서울 양천구 신정동 1021-8,신정1지구대
신정2지구대,서울 양천구 신정동 997-3,신정2지구대
신정3파출소,서울 양천구 신정동 1264,신정3파출소
신정7치안센터,서울 양천구 신정동 330-11,신정7치안센터
신창파출소,서울 도봉구 창동 647-10,신창파출소
신천파출소,서울 송파구 신천동 20-5,신천파출소
신촌지구대,서울 서대문구 대현동 27-14,신촌지구대
신풍지구대,서울 영등포구 신길동 3741-23,신풍지구대
쌍문1동 자율방범대 방범초소,서울 도봉구 쌍문동 434-8,쌍문1동 자율방범대 방범초소
쌍문파출소,서울 도봉구 쌍문동 43-3,쌍문파출소
아현동 마포경찰서 전기차충전소,서울 마포구 아현동 618-1,아현동 마포경찰서 전기차충전소
안암지구대,서울 성북구 보문동3가 1-1,안암지구대
암사지구대,서울 강동구 암사동 414-19,암사지구대
압구정파출소,서울 강남구 압구정동 483,압구정파출소
약수지구대,서울 중구 신당동 844-3,약수지구대
양재파출소,서울 서초구 양재동 1-3,양재파출소
양천경찰서 목1지구대,서울 양천구 목동 907-3,양천경찰서 목1지구대
양천경찰서교차로,서울 양천구 신정동,양천경찰서교차로
양천경찰서상조회,서울 양천구 신정동 321,양천경찰서상조회
양평파출소,서울 영등포구 양평동1가 164-22,양평파출소
여의도지구대,서울 영등포구 여의도동 2,여의도지구대
역삼지구대,서울 강남구 역삼동 687-10,역삼지구대
